"","Var1","Var2","Var3","Var4","value"
"734",2,2,1,28,60
"735",3,2,1,28,60
"736",1,3,1,28,159
"737",2,3,1,28,159
"738",3,3,1,28,159
"739",1,1,2,28,46
"740",2,1,2,28,48
"741",3,1,2,28,48
"742",1,2,2,28,48
"743",2,2,2,28,45
"744",3,2,2,28,48
"745",1,3,2,28,49
"746",2,3,2,28,49
"747",3,3,2,28,49
"748",1,1,3,28,98
"749",2,1,3,28,98
"750",3,1,3,28,98
"751",1,2,3,28,39
"752",2,2,3,28,39
"753",3,2,3,28,39
"754",1,3,3,28,22
"755",2,3,3,28,22
"756",3,3,3,28,22
"757",1,1,1,29,142
"758",2,1,1,29,142
"759",3,1,1,29,142
"760",1,2,1,29,70
"761",2,2,1,29,70
"762",3,2,1,29,70
"763",1,3,1,29,158
"764",2,3,1,29,158
"765",3,3,1,29,158
"766",1,1,2,29,72
"767",2,1,2,29,73
"768",3,1,2,29,73
"769",1,2,2,29,54
"770",2,2,2,29,54
"771",3,2,2,29,54
"772",1,3,2,29,85
"773",2,3,2,29,85
"774",3,3,2,29,85
"775",1,1,3,29,36
"776",2,1,3,29,36
"777",3,1,3,29,36
"778",1,2,3,29,24
"779",2,2,3,29,24
"780",3,2,3,29,24
"781",1,3,3,29,30
"782",2,3,3,29,30
"783",3,3,3,29,30
"784",1,1,1,30,299
"785",2,1,1,30,299
"786",3,1,1,30,299
"787",1,2,1,30,267
"788",2,2,1,30,267
"789",3,2,1,30,267
"790",1,3,1,30,70
"791",2,3,1,30,70
"792",3,3,1,30,70
"793",1,1,2,30,79
"794",2,1,2,30,81
"795",3,1,2,30,81
"796",1,2,2,30,27
"797",2,2,2,30,27
"798",3,2,2,30,27
"799",1,3,2,30,14
"800",2,3,2,30,14
"801",3,3,2,30,14
"802",1,1,3,30,45
"803",2,1,3,30,48
"804",3,1,3,30,48
"805",1,2,3,30,22
"806",2,2,3,30,23
"807",3,2,3,30,23
"808",1,3,3,30,44
"809",2,3,3,30,44
"810",3,3,3,30,44
"811",1,1,1,31,133
"812",2,1,1,31,133
"813",3,1,1,31,133
"814",1,2,1,31,160
"815",2,2,1,31,160
"816",3,2,1,31,160
"817",1,3,1,31,171
"818",2,3,1,31,171
"819",3,3,1,31,171
"820",1,1,2,31,57
"821",2,1,2,31,48
"822",3,1,2,31,57
"823",1,2,2,31,46
"824",2,2,2,31,46
"825",3,2,2,31,46
"826",1,3,2,31,36
"827",2,3,2,31,36
"828",3,3,2,31,36
"829",1,1,3,31,50
"830",2,1,3,31,50
"831",3,1,3,31,50
"832",1,2,3,31,18
"833",2,2,3,31,22
"834",3,2,3,31,22
"835",1,3,3,31,17
"836",2,3,3,31,17
"837",3,3,3,31,17
"838",1,1,1,32,135
"839",2,1,1,32,135
"840",3,1,1,32,135
"841",1,2,1,32,259
"842",2,2,1,32,259
"843",3,2,1,32,259
"844",1,3,1,32,347
"845",2,3,1,32,347
"846",3,3,1,32,347
"847",1,1,2,32,79
"848",2,1,2,32,79
"849",3,1,2,32,79
"850",1,2,2,32,61
"851",2,2,2,32,61
"852",3,2,2,32,61
"853",1,3,2,32,23
"854",2,3,2,32,23
"855",3,3,2,32,23
"856",1,1,3,32,87
"857",2,1,3,32,88
"858",3,1,3,32,88
"859",1,2,3,32,27
"860",2,2,3,32,23
"861",3,2,3,32,27
"862",1,3,3,32,25
"863",2,3,3,32,25
"864",3,3,3,32,25
"865",1,1,1,33,129
"866",2,1,1,33,129
"867",3,1,1,33,130
"868",1,2,1,33,55
"869",2,2,1,33,55
"870",3,2,1,33,55
"871",1,3,1,33,252
"872",2,3,1,33,252
"873",3,3,1,33,252
"874",1,1,2,33,115
"875",2,1,2,33,115
"876",3,1,2,33,115
"877",1,2,2,33,66
"878",2,2,2,33,66
"879",3,2,2,33,66
"880",1,3,2,33,33
"881",2,3,2,33,33
"882",3,3,2,33,33
"883",1,1,3,33,28
"884",2,1,3,33,26
"885",3,1,3,33,28
"886",1,2,3,33,15
"887",2,2,3,33,15
"888",3,2,3,33,16
"889",1,3,3,33,48
"890",2,3,3,33,48
"891",3,3,3,33,48
"892",1,1,1,34,179
"893",2,1,1,34,136
"894",3,1,1,34,179
"895",1,2,1,34,102
"896",2,2,1,34,84
"897",3,2,1,34,102
"898",1,3,1,34,575
"899",2,3,1,34,575
"900",3,3,1,34,575
"901",1,1,2,34,102
"902",2,1,2,34,91
"903",3,1,2,34,103
"904",1,2,2,34,36
"905",2,2,2,34,38
"906",3,2,2,34,41
"907",1,3,2,34,25
"908",2,3,2,34,25
"909",3,3,2,34,25
"910",1,1,3,34,88
"911",2,1,3,34,88
"912",3,1,3,34,88
"913",1,2,3,34,30
"914",2,2,3,34,31
"915",3,2,3,34,31
"916",1,3,3,34,17
"917",2,3,3,34,17
"918",3,3,3,34,17
"919",1,1,1,35,129
"920",2,1,1,35,121
"921",3,1,1,35,129
"922",1,2,1,35,270
"923",2,2,1,35,270
"924",3,2,1,35,270
"925",1,3,1,35,108
"926",2,3,1,35,108
"927",3,3,1,35,108
"928",1,1,2,35,60
"929",2,1,2,35,51
"930",3,1,2,35,60
"931",1,2,2,35,31
"932",2,2,2,35,27
"933",3,2,2,35,31
"934",1,3,2,35,55
"935",2,3,2,35,55
"936",3,3,2,35,55
"937",1,1,3,35,62
"938",2,1,3,35,65
"939",3,1,3,35,65
"940",1,2,3,35,44
"941",2,2,3,35,44
"942",3,2,3,35,44
"943",1,3,3,35,27
"944",2,3,3,35,27
"945",3,3,3,35,27
"946",1,1,1,36,238
"947",2,1,1,36,238
"948",3,1,1,36,238
"949",1,2,1,36,178
"950",2,2,1,36,179
"951",3,2,1,36,179
"952",1,3,1,36,338
"953",2,3,1,36,338
"954",3,3,1,36,338
"955",1,1,2,36,125
"956",2,1,2,36,69
"957",3,1,2,36,125
"958",1,2,2,36,79
"959",2,2,2,36,79
"960",3,2,2,36,79
"961",1,3,2,36,70
"962",2,3,2,36,70
"963",3,3,2,36,70
"964",1,1,3,36,30
"965",2,1,3,36,29
"966",3,1,3,36,30
"967",1,2,3,36,31
"968",2,2,3,36,31
"969",3,2,3,36,31
"970",1,3,3,36,46
"971",2,3,3,36,46
"972",3,3,3,36,46
"973",1,1,1,37,170
"974",2,1,1,37,170
"975",3,1,1,37,170
"976",1,2,1,37,569
"977",2,2,1,37,569
"978",3,2,1,37,569
"979",1,3,1,37,273
"980",2,3,1,37,273
"981",3,3,1,37,273
"982",1,1,2,37,75
"983",2,1,2,37,75
"984",3,1,2,37,75
"985",1,2,2,37,48
"986",2,2,2,37,48
"987",3,2,2,37,48
"988",1,3,2,37,75
"989",2,3,2,37,75
"990",3,3,2,37,75
"991",1,1,3,37,52
"992",2,1,3,37,52
"993",3,1,3,37,52
"994",1,2,3,37,49
"995",2,2,3,37,50
"996",3,2,3,37,50
"997",1,3,3,37,31
"998",2,3,3,37,31
"999",3,3,3,37,31
"1000",1,1,1,38,116
"1001",2,1,1,38,116
"1002",3,1,1,38,116
"1003",1,2,1,38,235
"1004",2,2,1,38,235
"1005",3,2,1,38,235
"1006",1,3,1,38,340
"1007",2,3,1,38,340
"1008",3,3,1,38,340
"1009",1,1,2,38,82
"1010",2,1,2,38,82
"1011",3,1,2,38,82
"1012",1,2,2,38,21
"1013",2,2,2,38,16
"1014",3,2,2,38,21
"1015",1,3,2,38,67
"1016",2,3,2,38,67
"1017",3,3,2,38,67
"1018",1,1,3,38,31
"1019",2,1,3,38,31
"1020",3,1,3,38,31
"1021",1,2,3,38,23
"1022",2,2,3,38,23
"1023",3,2,3,38,23
"1024",1,3,3,38,25
"1025",2,3,3,38,25
"1026",3,3,3,38,25
"1027",1,1,1,39,288
"1028",2,1,1,39,288
"1029",3,1,1,39,288
"1030",1,2,1,39,293
"1031",2,2,1,39,294
"1032",3,2,1,39,294
"1033",1,3,1,39,395
"1034",2,3,1,39,395
"1035",3,3,1,39,395
"1036",1,1,2,39,84
"1037",2,1,2,39,84
"1038",3,1,2,39,97
"1039",1,2,2,39,46
"1040",2,2,2,39,46
"1041",3,2,2,39,46
"1042",1,3,2,39,154
"1043",2,3,2,39,154
"1044",3,3,2,39,154
"1045",1,1,3,39,36
"1046",2,1,3,39,37
"1047",3,1,3,39,37
"1048",1,2,3,39,25
"1049",2,2,3,39,25
"1050",3,2,3,39,25
"1051",1,3,3,39,27
"1052",2,3,3,39,27
"1053",3,3,3,39,27
"1054",1,1,1,40,140
"1055",2,1,1,40,138
"1056",3,1,1,40,140
"1057",1,2,1,40,98
"1058",2,2,1,40,98
"1059",3,2,1,40,98
"1060",1,3,1,40,154
"1061",2,3,1,40,154
"1062",3,3,1,40,154
"1063",1,1,2,40,83
