"","Var1","Var2","Var3","value"
"828",3,4,69,2
"829",1,1,70,25
"830",2,1,70,25
"831",3,1,70,25
"832",1,2,70,10
"833",2,2,70,10
"834",3,2,70,10
"835",1,3,70,2
"836",2,3,70,2
"837",3,3,70,2
"838",1,4,70,2
"839",2,4,70,2
"840",3,4,70,2
"841",1,1,71,23
"842",2,1,71,23
"843",3,1,71,23
"844",1,2,71,4
"845",2,2,71,4
"846",3,2,71,4
"847",1,3,71,3
"848",2,3,71,3
"849",3,3,71,3
"850",1,4,71,2
"851",2,4,71,2
"852",3,4,71,2
"853",1,1,72,22
"854",2,1,72,22
"855",3,1,72,22
"856",1,2,72,5
"857",2,2,72,5
"858",3,2,72,5
"859",1,3,72,5
"860",2,3,72,5
"861",3,3,72,5
"862",1,4,72,2
"863",2,4,72,2
"864",3,4,72,2
"865",1,1,73,20
"866",2,1,73,20
"867",3,1,73,20
"868",1,2,73,5
"869",2,2,73,5
"870",3,2,73,5
"871",1,3,73,2
"872",2,3,73,2
"873",3,3,73,2
"874",1,4,73,2
"875",2,4,73,2
"876",3,4,73,2
"877",1,1,74,29
"878",2,1,74,29
"879",3,1,74,29
"880",1,2,74,8
"881",2,2,74,8
"882",3,2,74,8
"883",1,3,74,5
"884",2,3,74,5
"885",3,3,74,5
"886",1,4,74,2
"887",2,4,74,2
"888",3,4,74,2
"889",1,1,75,16
"890",2,1,75,16
"891",3,1,75,15
"892",1,2,75,6
"893",2,2,75,6
"894",3,2,75,6
"895",1,3,75,3
"896",2,3,75,3
"897",3,3,75,3
"898",1,4,75,2
"899",2,4,75,2
"900",3,4,75,2
"901",1,1,76,34
"902",2,1,76,34
"903",3,1,76,34
"904",1,2,76,3
"905",2,2,76,3
"906",3,2,76,3
"907",1,3,76,3
"908",2,3,76,3
"909",3,3,76,3
"910",1,4,76,2
"911",2,4,76,2
"912",3,4,76,2
"913",1,1,77,18
"914",2,1,77,18
"915",3,1,77,18
"916",1,2,77,8
"917",2,2,77,8
"918",3,2,77,8
"919",1,3,77,3
"920",2,3,77,3
"921",3,3,77,3
"922",1,4,77,3
"923",2,4,77,3
"924",3,4,77,3
"925",1,1,78,21
"926",2,1,78,21
"927",3,1,78,21
"928",1,2,78,16
"929",2,2,78,16
"930",3,2,78,16
"931",1,3,78,2
"932",2,3,78,2
"933",3,3,78,2
"934",1,4,78,2
"935",2,4,78,2
"936",3,4,78,2
"937",1,1,79,18
"938",2,1,79,18
"939",3,1,79,18
"940",1,2,79,7
"941",2,2,79,7
"942",3,2,79,7
"943",1,3,79,3
"944",2,3,79,3
"945",3,3,79,3
"946",1,4,79,2
"947",2,4,79,2
"948",3,4,79,2
"949",1,1,80,27
"950",2,1,80,27
"951",3,1,80,27
"952",1,2,80,5
"953",2,2,80,5
"954",3,2,80,5
"955",1,3,80,2
"956",2,3,80,2
"957",3,3,80,2
"958",1,4,80,2
"959",2,4,80,2
"960",3,4,80,2
"961",1,1,81,30
"962",2,1,81,30
"963",3,1,81,30
"964",1,2,81,8
"965",2,2,81,8
"966",3,2,81,8
"967",1,3,81,5
"968",2,3,81,5
"969",3,3,81,5
"970",1,4,81,2
"971",2,4,81,2
"972",3,4,81,2
"973",1,1,82,37
"974",2,1,82,37
"975",3,1,82,37
"976",1,2,82,8
"977",2,2,82,8
"978",3,2,82,8
"979",1,3,82,5
"980",2,3,82,5
"981",3,3,82,5
"982",1,4,82,2
"983",2,4,82,2
"984",3,4,82,2
"985",1,1,83,15
"986",2,1,83,15
"987",3,1,83,15
"988",1,2,83,7
"989",2,2,83,7
"990",3,2,83,5
"991",1,3,83,3
"992",2,3,83,3
"993",3,3,83,3
"994",1,4,83,3
"995",2,4,83,3
"996",3,4,83,2
"997",1,1,84,16
"998",2,1,84,16
"999",3,1,84,16
"1000",1,2,84,6
"1001",2,2,84,6
"1002",3,2,84,6
"1003",1,3,84,4
"1004",2,3,84,4
"1005",3,3,84,4
"1006",1,4,84,2
"1007",2,4,84,2
"1008",3,4,84,2
"1009",1,1,85,19
"1010",2,1,85,19
"1011",3,1,85,18
"1012",1,2,85,6
"1013",2,2,85,6
"1014",3,2,85,6
"1015",1,3,85,2
"1016",2,3,85,2
"1017",3,3,85,2
