"","Var1","Var2","Var3","Var4","value"
"959",2,2,2,36,108
"960",3,2,2,36,108
"961",1,3,2,36,62
"962",2,3,2,36,62
"963",3,3,2,36,62
"964",1,1,3,36,21
"965",2,1,3,36,21
"966",3,1,3,36,21
"967",1,2,3,36,24
"968",2,2,3,36,24
"969",3,2,3,36,24
"970",1,3,3,36,19
"971",2,3,3,36,19
"972",3,3,3,36,19
"973",1,1,1,37,289
"974",2,1,1,37,289
"975",3,1,1,37,289
"976",1,2,1,37,371
"977",2,2,1,37,371
"978",3,2,1,37,371
"979",1,3,1,37,118
"980",2,3,1,37,118
"981",3,3,1,37,118
"982",1,1,2,37,69
"983",2,1,2,37,69
"984",3,1,2,37,69
"985",1,2,2,37,70
"986",2,2,2,37,70
"987",3,2,2,37,70
"988",1,3,2,37,34
"989",2,3,2,37,34
"990",3,3,2,37,34
"991",1,1,3,37,31
"992",2,1,3,37,31
"993",3,1,3,37,31
"994",1,2,3,37,26
"995",2,2,3,37,26
"996",3,2,3,37,26
"997",1,3,3,37,21
"998",2,3,3,37,21
"999",3,3,3,37,21
"1000",1,1,1,38,284
"1001",2,1,1,38,284
"1002",3,1,1,38,284
"1003",1,2,1,38,279
"1004",2,2,1,38,279
"1005",3,2,1,38,279
"1006",1,3,1,38,54
"1007",2,3,1,38,54
"1008",3,3,1,38,54
"1009",1,1,2,38,177
"1010",2,1,2,38,179
"1011",3,1,2,38,179
"1012",1,2,2,38,44
"1013",2,2,2,38,44
"1014",3,2,2,38,44
"1015",1,3,2,38,59
"1016",2,3,2,38,59
"1017",3,3,2,38,59
"1018",1,1,3,38,19
"1019",2,1,3,38,19
"1020",3,1,3,38,19
"1021",1,2,3,38,26
"1022",2,2,3,38,26
"1023",3,2,3,38,26
"1024",1,3,3,38,17
"1025",2,3,3,38,17
"1026",3,3,3,38,17
"1027",1,1,1,39,72
"1028",2,1,1,39,72
"1029",3,1,1,39,72
"1030",1,2,1,39,177
"1031",2,2,1,39,177
"1032",3,2,1,39,177
"1033",1,3,1,39,148
"1034",2,3,1,39,148
"1035",3,3,1,39,148
"1036",1,1,2,39,99
"1037",2,1,2,39,99
"1038",3,1,2,39,99
"1039",1,2,2,39,52
"1040",2,2,2,39,52
"1041",3,2,2,39,52
"1042",1,3,2,39,50
"1043",2,3,2,39,50
